"","entrezId","geneSymbol","chromosome"
"1",1,"A1BG","chr19"
"2",10,"NAT2","chr8"
"3",100,"ADA","chr20"
"4",1000,"CDH2","chr18"
"5",10000,"AKT3","chr1"
"6",100008586,"GAGE12F","chrX"
"7",100008587,"RN5-8S1","GL000220.1"
"8",100008588,"RN18S1","GL000220.1"
"9",100008589,"RN28S1","GL000220.1"
"10",100009613,"ANO1-AS2","chr11"
"11",100009676,"LOC100009676","chr3"
"12",10001,"MED6","chr14"
"13",10002,"NR2E3","chr15"
"14",10003,"NAALAD2","chr11"
"15",100033413,"SNORD116-1","chr15"
"16",100033414,"SNORD116-2","chr15"
"17",100033415,"SNORD116-3","chr15"
"18",100033416,"SNORD116-4","chr15"
"19",100033417,"SNORD116-5","chr15"
"20",100033418,"SNORD116-6","chr15"
"21",100033419,"SNORD116-7","chr15"
"22",100033420,"SNORD116-8","chr15"
"23",100033421,"SNORD116-9","chr15"
"24",100033422,"SNORD116-10","chr15"
"25",100033423,"SNORD116-11","chr15"
"26",100033424,"SNORD116-12","chr15"
"27",100033425,"SNORD116-13","chr15"
"28",100033426,"SNORD116-14","chr15"
"29",100033427,"SNORD116-15","chr15"
"30",100033428,"SNORD116-16","chr15"
"31",100033429,"SNORD116-17","chr15"
"32",100033430,"SNORD116-18","chr15"
"33",100033431,"SNORD116-20","chr15"
"34",100033432,"SNORD116-21","chr15"
"35",100033433,"SNORD116-22","chr15"
"36",100033434,"SNORD116-23","chr15"
"37",100033435,"SNORD116-24","chr15"
"38",100033436,"SNORD116-25","chr15"
"39",100033437,"SNORD115-2","chr15"
"40",100033438,"SNORD116-26","chr15"
"41",100033439,"SNORD116-27","chr15"
"42",100033440,"SNORD115-3","chr15"
"43",100033441,"SNORD115-4","chr15"
"44",100033442,"SNORD115-5","chr15"
"45",100033443,"SNORD115-6","chr15"
"46",100033444,"SNORD115-7","chr15"
"47",100033445,"SNORD115-8","chr15"
"48",100033446,"SNORD115-9","chr15"
"49",100033447,"SNORD115-10","chr15"
"50",100033448,"SNORD115-11","chr15"
"51",100033449,"SNORD115-12","chr15"
"52",100033450,"SNORD115-13","chr15"
"53",100033451,"SNORD115-14","chr15"
"54",100033453,"SNORD115-15","chr15"
